"gender","height","weight","shoeSize","schoolYear","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity"
"female",66,100,7,"Freshman",1,1,80,25,6,10,47,48,3,"one",30
"female",68,145,8,"Freshman",1,2,95,0,7,10,50,61,1,"one",98
"female",67,140,9,"Junior",0,1,90,25,5,25,53,52,9,"one",15
"male",71,145,10,"Freshman",1,3,107,100,8,12,53,54,5,"few",20
"female",64,125,6,"Freshman",3,2,110,15,7,13,55,62,3,"few",30
"female",67,155,8,"Freshman",0,1,20,20,8,4,45,42,2,"few",30
"female",67,145,9,"Sophomore",3,2,100,0,6,34,42,45,5,"one",50
"female",71,150,10,"Freshman",2,2,100,80,6,20,50,55,7,"one",50
"female",69,135,9.5,"Freshman",2,1,75,42,8,25,48,51,5,"dozens",20
"female",68,145,9,"Freshman",1,1,90,75,8,35,53,53,7,"few",50
"female",65,121,8,"Freshman",1,1,70,200,9,23,50,50,7,"millions",90
"female",66,145,8.5,"Freshman",2,2,85,24,8,17,46,46,3,"few",15
"female",67,120,9,"Freshman",7,2,85,60,7,11,51,52,3,"few",60
"female",67,138,8.5,"Freshman",0,3,89,25,8,7,47,52,3,"one",80
"female",64,125,9,"Freshman",2,2,110,45,8,17,46,46,5,"few",50
"female",65,112,8,"Freshman",2,2,82,90,7,12,52,52,2,"few",25
"female",67,135,7.5,"Freshman",0,2,120,85,7,17,56,57,7,"one",10
"male",71,165,11,"Freshman",3,2,82,0,8,6,56,57,4,"millions",80
"female",64,115,7.5,"Freshman",0,3,80,8,8,5,49,53,7,"few",75
"male",70,155,9,"Senior",5,1,101,25,7,14,65,64,10,"thousands",100
"female",64,140,10,"Freshman",0,4,75,40,6,10,56,58,3,"dozens",60
"female",70,135,8,"Freshman",5,2,110,0,6,15,50,52,5,"few",50
"male",73,187,10.5,"Freshman",0,2,20,34,6.5,6,46,50,7,"millions",60
"male",71,180,13,"Freshman",0,0,100,105,8,12,58,62,3,"few",75
"female",69,165,9,"Freshman",1,1,80,62,8,19,51,52,3,"dozens",45
"male",72,178,12,"Sophomore",10,2,100,22,8,6,54,55,3,"thousands",50
"female",61,155,8,"Sophomore",0,1,80,20,7,5,48,51,1,"one",90
"female",68,180,9,"Freshman",1,3,95,41,6,80,39,39,4,"dozens",40
"male",71,205,8.5,"Senior",6,1,100,6,5,22,47,52,3,"one",50
"female",63,113,7,"Freshman",0,1,74,21,7.5,27,57,64,7,"few",100
"male",73,165,11.5,"Sophomore",0,1,70,25,6.5,8,50,52,7,"thousands",100
"male",72,160,10.5,"Other",4,2,105,40,5.5,3,61,61,4,"thousands",0
"male",67,145,10,"Senior",13,3,120,400,6,20,41,44,3,"few",20
"female",57,130,5.5,"Freshman",2,2,85,60,6.5,40,45,53,3,"few",75
"female",70,170,10,"Sophomore",5,3,36,100,4.5,6,50,52,6,"one",40
"female",64,112,6,"Freshman",0,1,120,1000,8,10,44,46,7,"few",100
"male",72,200,10.5,"Sophomore",3,4,101,78,5,10,54,59,8,"few",100
"female",64,145,8.5,"Freshman",15,1,90,67,7.5,11,57,59,7,"dozens",70
"male",74,80,10,"Freshman",0,0,70,200,7,9,43,47,6,"one",30
"male",68,143,10.5,"Freshman",1,1,199,100,7,1,41,45,10,"few",1
"female",63,120,6.5,"Freshman",4,2,80,80,7,60,39,42,10,"millions",100
"male",72,180,12,"Freshman",2,2,111,19,7,20,53,57,6,"few",50
"female",69,185,11,"Freshman",2,1,90,3,8,39,52,53,7,"thousands",100
"female",66,115,8.5,"Freshman",2,3,110,45,5,20,38,42,8,"one",95
